Th1;Th2;CN;Nodes;Edges;A;B;C;D;E;Metric
0.013;0.018;15;30;67;0.72444844;0.8761905;0.85965437;0.7800133;0.32359782;71.27808
0.014;0.018;15;30;67;0.709298;0.8761905;0.8502628;0.79552317;0.33617496;71.34898
0.015;0.018;15;29;69;0.7172485;0.86079186;0.8466581;0.7905617;0.33500996;71.0054
0.016;0.018;15;25;59;0.7310024;0.8382609;0.8523501;0.7948696;0.3127579;70.584816
0.017;0.018;15;24;55;0.75420374;0.8371212;0.8397695;0.7204567;0.32465625;69.52415
0.018;0.018;15;22;46;0.7980219;0.8409091;0.84960157;0.8194073;0.31327406;72.42428
0.019;0.018;15;21;45;0.78293884;0.8270676;0.8541681;0.82952493;0.29088742;71.69174
0.02;0.018;15;21;46;0.7919394;0.8220551;0.85759246;0.8141764;0.28508204;71.4169
0.021;0.018;15;21;47;0.79199636;0.8170425;0.8597192;0.81576926;0.28508204;71.39218
0.022;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.023;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.024;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.025;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.026;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.027;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.028;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.029;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.03;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.031;0.018;15;21;47;0.79189515;0.8170425;0.8595781;0.81575847;0.28497016;71.38489
0.006;0.019;15;44;56;0.8176752;0.96320355;0.86898136;0.84930074;0.35611805;77.105576
0.007;0.019;15;42;56;0.80163264;0.9583333;0.85445;0.84543;0.36228222;76.44256
0.008;0.019;15;37;54;0.81020236;0.94517374;0.8626576;0.83371043;0.33986008;75.832085
0.009;0.019;15;33;51;0.7794348;0.9325513;0.8223088;0.821932;0.3593923;74.312386
0.01;0.019;15;32;53;0.7840035;0.92291665;0.8273445;0.8289782;0.36086676;74.48219
0.011;0.019;15;31;51;0.807681;0.9210234;0.8360677;0.8305092;0.362099;75.147606
0.012;0.019;15;29;49;0.79907686;0.91187745;0.83256227;0.83561164;0.36860928;74.95475
0.013;0.019;15;25;45;0.78972185;0.8869566;0.8419797;0.816034;0.34453416;73.584526
0.014;0.019;15;25;45;0.78972185;0.8869566;0.8419797;0.816034;0.34453416;73.584526
0.015;0.019;15;25;45;0.78972185;0.8869566;0.8419797;0.816034;0.34453416;73.584526
0.016;0.019;15;23;44;0.8054046;0.86542445;0.8504796;0.77904147;0.32300732;72.46715
0.017;0.019;15;21;38;0.7839789;0.8621553;0.86799836;0.7812045;0.300812;71.92298
0.018;0.019;15;20;35;0.7909934;0.8611111;0.87101525;0.771114;0.28654608;71.61559
0.019;0.019;15;19;33;0.8117833;0.85448915;0.860491;0.80316883;0.28858632;72.37038
0.02;0.019;15;17;33;0.8089885;0.8078431;0.8602595;0.78536266;0.2850738;70.95055
0.021;0.019;15;17;33;0.8089819;0.80784315;0.86188895;0.78749466;0.2851608;71.02739
0.022;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.023;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.024;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.025;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.026;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.027;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.028;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.029;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.03;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.031;0.019;15;18;37;0.76090056;0.8055555;0.8704478;0.78016156;0.2809205;69.95972
0.006;0.02;15;42;49;0.77970755;0.9666666;0.86381805;0.8471731;0.35221398;76.19159
0.007;0.02;15;39;48;0.76976705;0.9604989;0.8634326;0.8424535;0.3341988;75.40702
0.008;0.02;15;38;46;0.75899416;0.9605262;0.862618;0.83874273;0.3383088;75.18379
0.009;0.02;15;35;46;0.74291724;0.9506493;0.8331506;0.8173338;0.33424118;73.56584
0.01;0.02;15;31;47;0.75961214;0.92992216;0.8312732;0.8105767;0.35831276;73.79394
0.011;0.02;15;28;39;0.7899723;0.9313187;0.79768515;0.821096;0.34863415;73.774124
0.012;0.02;15;27;39;0.7699094;0.92444444;0.7963575;0.8148563;0.34695157;73.05039
0.013;0.02;15;27;39;0.7699094;0.92444444;0.7963575;0.8148563;0.34695157;73.05039
0.014;0.02;15;22;35;0.7371085;0.8909091;0.813943;0.83822227;0.3485468;72.5746
0.015;0.02;15;22;35;0.7371085;0.8909091;0.813943;0.83822227;0.3485468;72.5746
0.016;0.02;15;21;34;0.7622291;0.8822055;0.8035626;0.8042103;0.34273422;71.89883
0.017;0.02;15;19;30;0.7916416;0.873065;0.8140216;0.8124972;0.3422054;72.66862
0.018;0.02;15;18;29;0.76791334;0.8611111;0.8182579;0.7984958;0.33352208;71.586006
0.019;0.02;15;17;26;0.7763168;0.86274505;0.8100676;0.79204243;0.31682727;71.15999
0.02;0.02;15;17;26;0.77779424;0.86274505;0.83567655;0.80679256;0.32555777;72.171326
0.021;0.02;15;17;28;0.77711457;0.84705883;0.82121307;0.7911899;0.32562548;71.24404
0.022;0.02;15;17;31;0.77735925;0.82352936;0.8102435;0.7908382;0.3262232;70.56387
0.023;0.02;15;17;31;0.77735925;0.82352936;0.8102435;0.7908382;0.3262232;70.56387
0.024;0.02;15;17;31;0.77735925;0.82352936;0.8102435;0.7908382;0.3262232;70.56387
0.025;0.02;15;17;31;0.77735925;0.82352936;0.8102435;0.7908382;0.3262232;70.56387
0.026;0.02;15;16;30;0.7826436;0.8035714;0.85336936;0.8016028;0.2986812;70.79737
0.027;0.02;15;16;30;0.7826436;0.8035714;0.85336936;0.8016028;0.2986812;70.79737
